26404,10737,19445,25610,35334,10252,11516,23444,23956,9934,10653,11872,18389,21236,16492,26171,10129,11428,9304,8175,9486,2475,10340,9402,24117,29628,10180,18919,17697,27825,5937,19377,11474,658,13274,479,17759,37164,2551,34426,10836,13791,14710,6866,33030,14701,4811,4917,24139,5846,53663,3923,19924,19211,21396,14862,6140,5752,3040,8615,20910,27318,15338,15455,5538,4733,5617,15326,3649,17200,1955,12158,23298,7451,9706,16915,16047,34632,10082,24087,9187,13340,21200,2939,6329,7950,14389,14009,18472,7715,11418,5159,13527,3287,15417,3756,15796,13525,33623,19217,12887,13126,3984,8338,17791,15611,6404,6147,6014,29187,9490,4006,16080,27203,5884,13423,6656,15678,10755,56275,13567,9825,20246,8046,18965,15127,10075,6704,11272,19249,26078,11398,7967,26215,11972,3904,16126,15013,13166,24502,24246,2994,5851,22644,13461,13012,9376,10631,25457,7264,31102,2819,13083,17526,15815,26638,5917,16513,7820,8544,18608,67784,6480,7941,26411,13000,3052,2239,3825,15997,4321,38412,3638,21725,48730,17340,26924,40018,21246,20045,17388,1977,16065,36420,9264,32363,22959,10522,1436,3426,22631,25602,19151,14020,20243,47337,17521,31723,38386,6702,24353,12800,12587,6455,24154,51139,8684,12125,38407,42305,20159,9516,24262,19223,1072,10917,17806,10870,12480,13774,3191,16997,25515,5043,14485,2977,15493,22087,4254,10598,38541,3421,57460,45153,12741,20082,17598,44034,20908,5372,8641,16986,10521,6254,7237,4195,45436,1602,11234,25266,969,12222,3156,15745,7647,5443,17061,20999,8146,10526,6887,11256,17376,7977,5955,2630,6602,69844,18784,8687,20862,3984,3415,42910,17800,3576,4460,35983,9166,17943,3035,28156,21094,6603,943,28660,13093,25862,33874,15968,22118,16000,11793,12437,3923,28435,16127,13286,39210,45478,4886,1078,26020,5936,9311,37600,15420,30990,18752,19025,5047,16314,4195,3044,5479,9269,2260,11514,6175,8412,11587,22053,4948,5885,8154,29705,2999,3881,14223,11874,6457,1899,5069,2144,5297,8366,13413,13631,27161,11962,8632,14333,16449,2510,9672,4341,15041,6519,4337,4622,22918,12269,59207,9601,10709,10862,56455,10873,15779,19885,12708,20716,47139,4277,2223,13310,15707,16856,8370,1283,21377,29074,14799,30999,3983,5450,4992,15634,4336,34660,10967,23618,21043,24798,7871,8975,9017,25603,4381,3699,11573,28535,25958,19349,8922,15461,44523,21805,2023,18512,34582,2865,12115,11551,7790,14268,37998,20735,20249,8734,5624,23415,15940,22169,20607,18268,26637,7731,14129,10409,16363,8414,37113,9539,1281,26148,52758,2484,10606,39727,38845,11352,22512,41275,11665,5238,3782,5586,17154,19148,20547,4331,2018,9936,35342,6421,12200,12157,30911,31882,16131,11456,12398,17913,893,36943,8899,14064,5285,6987,5680,27128,11522,18269,16750,19789,9730,11197,5844,14068,14187,8590,4027,6747,5213,12279,29787,11852,5795,14501,21711,4081,35974,25029,16298,23831,35900,8568,5699,3593,8036,5035,9494,6077,7550,14740,22133,27425,3089,5704,23211,18715,9932,8598,18498,37004,6758,29839,14258,13592,15760,3107,51467,5424,9832,5343,4436,15798,11164,12633,57526,54382,10253,15988,11010,27184,53031,6271,10213,15682,18494,41714,22662,3571,1118,7620,7584,35063,12231,14640,1037,33833,25897,521,25948,6928,17844,4069,39306,36386,15704,9911,12078,4350,7978,865,1978,24615,25439,13902,10002,10253,2451,5027,6987,9359,8641,45085,11053,21919,7960,5324,42764,5584,24578,18395,35211,17412,21896,7608,3359,11703,4143,7576,6947,14924,10815,10050,50432,12679,21381,21134,19802,7374,4583,23271,7012,30832,30398,24228,4651,29670,39300,11911,12913,12395,1871,16362,26868,32961,18844,2046,29808,24371,28278,21953,16685,40716,25665,28018,8218,3514,21545,19465,11593,14703,8479,22229,21546,4326,31960,4857,1290,11118,16363,13248,13318,22546,9559,23114,12420,40521,20239,6185,41556,2139,4078,20624,16933,10567,5848,13235,19992,9664,5548,31174,22701,12856,21881,15073,10764,33977,56609,7984,66421,22060,1701,2730,12476,33050,3314,26593,7565,7004,5074,12441,7312,24151,5558,3431,26050,4962,24171,4321,3282,32095,9944,6110,4879,27647,26258,28156,14691,21809,9273,17289,16703,23457,8823,13450,4981,22184,5509,8098,14562,7171,9173,1190,6670,21604,13904,31263,14067,4738,21085,35991,10317,39679,10928,15277,13775,12243,8692,13473,40725,10277,26219,15117,5698,5799,8956,23671,21591,14211,16688,11336,18915,7281,3732,10291,16938,19493,10979,5316,32051,2698,8390,10328,15063,7829,23558,47147,30999,18865,20375,9216,7857,8322,6268,7231,32324,44309,20538,8360,8544,8250,10473,9862,44063,37021,3390,1195,15740,43666,3273,4138,20936,6116,22190,34690,22958,19022,17750,17489,34278,25964,43808,2104,8395,24919,27627,14823,4909,23821,4815,2850,8744,12635,16835,51775,46966,41759,36048,3043,26348,31872,5753,8299,28419,5171,5676,9050,10870,6256,29141,8050,7827,864,21283,6019,35827,19139,9053,8522,3532,959,9616,6941,27195,7165,23889,19683,4840,10632,11557,900,9312,8569,8896,16683,17718,38726,10173,33552,2101,6023,9569,37660,10402,6161,21827,1969,6085,3009,36725,2132,6265,14297,3581,17597,32531,34282,8298,36449,26898,10553,25690,10158,9950,1953,37495,28753,32361,20947,21411,11509,15792,59653,36337,33146,18996,30130,10456,5765,5412,5497,9407,50629,6676,24347,2760,1767,10242,8274,31490,16892,12955,11191,4666,23512,4893,13501,12174,27569,7810,16524,12350,22065,35306,10665,10489,4040,6220,11949,11507,9415,13554,20147,6160,15580,3852,7229,16954,52289,7655,12790,23562,16066,26022,4880,6308,5683,19986,5190,23861,3968,14686,2466,30014,3906,12742,33912,12065,13882,24740,14338,7482,23773,11189,15765,29043,6900,10986,23258,1995,27569,16360,53509,9035,17857,11313,24535,6751,9727,20427,11707,32867,24134,6457,9767,13804,5201,8733,17534,19219,7984,19506,4864,20041,6303,44710,41845,3074,7541,13254,5985,10858,13390,28799,24036,11968,12477,3444,17594,4564,14511,19600,6651,8932,4150
36036,15914,24927,27187,38961,11960,16209,25791,26232,15723,14137,36129,20382,22998,45303,30162,11262,35441,24913,8175,9766,25704,19138,11384,27030,30334,10799,28072,30328,30955,17080,35236,18657,5228,18813,50380,18994,44347,11801,36740,12181,15603,17358,15003,51371,25841,9479,20425,24144,11729,57907,13705,21788,35699,29177,43987,12411,10530,8194,13037,30391,42026,16616,25473,7545,5427,6188,37140,10689,19898,13313,14976,24554,11817,9708,21440,23515,34637,10323,29470,10793,20033,27975,20848,22340,26268,20212,39447,20211,15677,16309,7908,34553,9600,45659,4152,25438,19857,35818,27018,21141,18985,9717,42738,18870,20330,11941,20827,21282,32957,12076,5565,22068,27381,6807,19051,19030,19069,20162,58965,16162,25196,21753,9282,30114,15135,24778,8229,17765,21878,29283,11399,17638,39019,14150,4147,16492,17090,14712,29835,25714,14298,6246,25558,14037,15092,12563,13413,27546,13392,36538,35623,13417,35423,17941,27767,19067,18581,11515,21339,36632,77630,8271,28094,39735,13293,4796,6179,8916,21688,24825,41253,5729,25576,55772,22451,38716,42363,21331,22395,24694,54163,16074,44914,15823,46837,26047,12838,13449,4712,32223,41418,65511,20073,25484,58615,20191,33875,64699,51253,32303,17289,18255,13058,35654,75991,16508,21602,38408,48838,21750,11962,24395,23485,28377,16647,40078,15603,12603,16561,12382,60872,46147,5045,14654,6309,27553,27584,13782,11880,57142,20282,60344,57189,16661,23111,35251,49095,27560,16526,12171,20957,13909,8079,17164,5260,61212,1695,24474,47682,2953,53514,11062,19034,14539,18562,25896,34033,9480,15084,28093,20206,17575,22495,8005,5708,7837,72208,19075,19236,21941,11738,23913,69673,23872,7975,21819,41367,13973,21745,6373,55096,21352,6605,2181,62251,13607,30999,37172,19158,29849,21449,27435,13069,15729,31537,27861,19400,54368,46860,7170,9863,31448,28844,13933,40956,40146,50203,22901,43853,20016,41545,7486,6699,9928,27505,5859,19428,37557,13859,21830,25504,11776,7620,9098,31755,16509,23565,15256,14679,31829,9010,13716,6700,13571,9357,21872,46121,43728,12552,24249,38899,16898,4951,15738,10309,20849,11524,7191,18135,24583,17178,70020,9608,22090,11415,57974,13483,18713,20949,12976,31070,56219,36937,11046,17489,39856,20922,10456,3489,26940,34401,21177,67047,12330,53263,59355,19027,10703,35933,14945,31926,29149,24857,11985,18005,11608,47573,12326,21657,29412,34382,28027,29838,9522,70826,66647,23003,3263,20384,41800,6989,16683,11671,20214,17402,40671,24097,21841,51627,21612,26773,16448,24308,27398,42447,29439,10754,16352,24639,22559,13529,38596,9918,3426,30021,57433,27339,14884,41618,58497,64085,23815,45144,36803,6999,33957,7151,19307,23857,35846,4355,5305,20223,40715,10583,15002,30997,49684,36997,20536,32564,22019,20380,4821,42498,39466,14614,6351,7167,7434,29228,11672,27354,19231,20963,10242,19320,5846,16704,51060,9273,14188,16629,31226,20855,35280,36030,8336,14958,33699,13468,47200,57648,21566,25686,44218,9978,9454,6411,15348,17253,23795,21024,14131,25217,23634,29502,7602,14892,30366,43054,33754,9907,24750,60251,11366,34438,15533,14356,16150,18144,51726,20020,20946,15644,4613,17298,13497,12825,62414,65744,12817,25054,12991,33500,59266,10691,16550,26717,27697,47302,48897,6319,21475,15579,8328,43198,17392,63792,30981,42345,29385,22115,26611,13616,18284,12028,42765,71758,33799,17777,30383,5492,32322,2964,4429,34972,26293,23324,21508,13420,18679,32534,6995,18515,17117,48513,13433,46787,10964,14009,42871,55899,28407,25136,36998,24808,26677,10380,12726,23504,30733,10436,18626,33951,24247,11551,52617,32450,50357,28990,28963,24361,6777,28560,8469,39302,30754,30830,44561,55336,41302,16216,23485,13636,7188,18827,30154,37444,25179,5278,31819,25767,57201,27719,23722,42442,28826,43086,13872,15103,27420,43233,69461,16377,27391,25353,21667,8853,38526,4870,17487,12055,20708,14937,17537,31568,54364,29262,15630,45778,24355,9592,49719,6723,4527,25138,17852,10570,9186,24788,22529,11272,13072,41944,31371,17557,22602,16603,19544,35599,71082,15657,86753,35686,22882,5089,20682,34508,46018,38280,11982,8717,11151,13677,35430,28185,7131,6254,48181,17444,28396,32223,6661,41189,15121,13050,29237,39922,30630,37606,17637,25369,31968,32549,19455,34844,12468,17933,5692,22851,5869,8681,21858,7196,26484,1555,10872,37327,16651,44098,58143,8352,24009,41329,21638,40594,12619,18981,21426,16762,32754,17614,43724,11730,32485,15536,16270,23529,18111,26895,21603,21685,45497,16533,20968,22984,15596,14935,18389,35170,32376,18751,32771,17584,13084,24120,20292,24500,28787,57507,35241,25153,20973,20115,9133,14768,11637,15864,52189,48927,28078,19769,11802,8581,22209,17954,44422,38555,7641,22599,17385,46971,17915,4869,30856,8556,29381,38471,27186,31650,33699,45697,34322,30971,47221,3932,68125,26192,34828,21223,30578,25256,11910,16625,19429,16071,23552,53720,54883,44003,51290,15414,28221,32328,8950,16440,31798,35587,17070,55782,24111,44500,32480,31224,18468,7574,53083,8186,37198,21749,13791,11687,6232,16020,13894,10248,50080,9690,53534,44722,16785,12576,15683,30029,19470,23879,21552,24032,31701,46961,15896,36823,2869,9508,14268,39752,19940,31275,26636,12816,10173,5768,62810,6074,10767,19162,6179,25997,34439,55590,24305,49421,27065,13860,26184,36888,16444,23662,41876,75240,36086,27480,21411,14679,46291,60330,39343,35251,19123,35199,11445,11948,8841,21756,15423,50899,6813,42560,7347,17258,10556,19169,32869,20234,29823,15388,9768,42096,6080,25166,12181,51424,14618,36173,14284,51012,41645,42111,10547,37515,9662,11956,11514,9785,20927,22799,17385,16130,10260,9797,16959,79037,33060,15063,27278,22167,26023,7464,8689,11783,22920,7945,23865,5183,23318,4237,31652,4655,24124,35576,28770,20606,29659,21172,10462,26925,59545,21513,30507,14389,31650,28213,18648,31243,29356,57911,17637,21989,14852,28701,23092,14663,24143,24384,42451,40484,7061,10820,25934,11399,22742,21768,40543,10290,22260,15883,31711,8214,49060,44931,33782,9612,17993,15523,36775,20253,40866,29332,19763,14492,8506,22510,6709,19076,21728,14801,11924,45241
38426,16296,33784,47814,44542,15858,21848,26445,36645,27049,16441,40674,38527,39929,45563,67494,15006,37479,38572,15837,9768,27063,27541,18928,33346,39894,23405,59626,32153,45624,28185,53441,20974,6439,29087,52956,47415,44836,13740,51355,15130,29531,22141,57232,52392,25914,12653,28989,45543,18453,78523,19812,22492,35709,44692,43996,18728,15975,16022,28364,39064,58624,29218,33636,34654,7550,10271,37618,16530,62719,14721,29944,27897,29213,13398,57106,27955,37111,11890,29471,14148,20540,32799,28392,22922,28944,22130,43055,28556,16508,22347,26335,57839,9619,66733,20459,30968,56933,44736,29224,22357,21046,9776,50014,19371,25251,14551,21987,21798,36338,13979,5865,22426,28497,15417,26994,21409,26874,62022,60560,20423,25946,30493,10490,49751,20740,29874,22290,20006,54974,30932,26237,22836,57304,32404,22848,44147,24092,18214,31345,26229,20111,11734,34169,15018,16828,15358,21872,42923,13750,37051,36346,27064,49858,30986,30302,34052,40280,76895,22392,36696,80424,31708,37094,50380,14111,4814,7370,12883,24163,28096,43442,37065,35059,56707,22690,39504,56409,22561,22724,30369,58380,23622,49948,18507,48084,45266,23014,29136,16898,34639,50399,66730,23547,26772,64873,25297,34880,69592,54116,32987,24066,24141,46453,40247,97097,18308,44365,55532,49295,26404,15458,28942,39296,30892,25365,47930,22068,17553,49749,13010,61559,54829,10537,28298,12023,28738,34980,24455,12995,72960,39135,63496,62177,19698,32558,36143,54181,28335,24349,13383,23257,22397,14816,17249,17533,62717,9815,29236,49092,9267,56399,19008,20340,23931,19186,32410,34867,34430,21647,29563,36841,18023,27294,23999,13396,31858,73083,25588,44414,31835,13355,25699,77853,29563,29495,24948,49183,18977,35533,23044,63218,42740,14661,3105,71643,13737,40815,41777,19365,37002,23887,74106,24759,26772,37085,38120,20373,59843,51050,8074,11207,38448,29942,52441,54624,54545,58960,33353,53176,20027,64893,23513,8653,13353,44800,12266,24917,67383,21432,41669,33803,13263,13109,9399,35166,19418,32130,15320,15058,32329,16362,15456,8462,21933,12086,35299,56722,71938,14068,36012,61468,19809,10846,27948,18708,20873,18694,10198,23241,27762,19454,75009,17752,24356,18670,71070,23263,24022,34586,16939,46830,59311,38667,13314,19229,46114,57981,12182,18856,28512,46180,60057,67058,21767,62110,62591,26637,26624,40506,16140,52909,29287,35453,13486,19615,12877,69034,18500,22443,31640,44339,34659,33211,14070,79083,71889,23132,6070,25438,43502,7882,19686,14898,20393,19953,46702,34165,31069,84310,21901,27652,29396,38394,33486,50920,34440,11530,22677,30558,32938,36322,45321,22969,30305,30774,63176,32059,15972,59656,59314,64226,29528,50317,38276,10280,36027,33034,22590,23866,44490,5692,8487,26179,43737,15621,75978,39739,58464,38482,21120,45729,25981,24513,18880,44788,78417,20119,24709,9221,12397,41000,14146,51581,23284,21263,11901,23564,19974,17079,61792,11453,21010,17395,32608,21105,36348,37216,21056,18099,35818,19043,48169,61367,37928,29318,44495,13127,12967,25917,27758,23501,27517,29115,26762,26625,30831,31132,11802,15256,31954,56933,34222,12753,28609,79292,16084,35872,30234,14956,16246,19548,55955,47390,27514,18565,17314,18614,22754,16915,91146,68707,16033,30045,13277,37384,72007,35037,20100,28238,38805,56383,54659,11907,23235,19034,11695,45851,19433,90571,34111,54556,30382,27864,27065,15159,20460,12741,46624,72873,35254,19383,40218,14073,33936,28902,8041,36506,26598,23942,60569,22411,21854,61751,11762,29276,18385,54195,18739,53944,16111,15465,49555,61484,29215,35284,73943,25836,38895,14963,20851,26279,30954,17923,18627,37854,37802,13078,58505,33756,64031,34961,31965,25523,36014,47649,25777,48401,31082,50369,52613,55887,47731,19205,48103,26788,15847,25109,46352,56710,28069,8383,34043,26193,59350,48801,51537,43091,29236,48325,19480,15132,37972,48963,84941,18547,27938,34839,23122,18561,58270,14787,20188,16272,22472,21505,24489,32569,77709,35810,18796,59874,28700,15062,52904,10097,7479,28203,23843,10733,9603,30526,32393,15403,14903,51317,37279,25877,26522,17292,20177,37636,83588,22202,86758,41209,29534,7062,35608,56631,47199,50047,13002,26827,12924,16426,36150,31727,22422,14814,48651,56601,34618,34593,7554,41754,27386,14355,62751,53625,55898,43863,32257,61081,40058,34773,20192,35353,20657,21151,6585,23157,6441,10101,23794,10154,30267,7902,18368,61728,16670,55683,75120,9884,26130,69981,23646,41154,20204,19241,27029,21878,37133,26493,46923,17608,43726,20449,22346,28221,34977,35131,21800,23735,62899,16679,31332,23647,16794,27106,19223,40830,33340,23486,49724,20655,20248,30668,50976,25115,33534,75440,41288,27157,27847,50116,10127,14770,36693,39396,64020,65689,34373,51450,28329,10652,24836,26741,47052,42152,11174,22770,20777,51918,20376,22274,32404,9883,44879,39517,83435,37019,69688,50085,38087,32388,53486,13167,75611,44334,41189,21466,34278,28810,12448,25630,23533,24212,24736,81733,55781,51542,54570,16500,29955,33400,9625,22851,37426,69308,24571,59203,32385,54054,36675,31821,18471,9248,55000,8386,43219,22311,13897,18195,12869,18913,16121,27277,52245,14704,58016,53090,27932,15438,16879,31947,66900,25066,26092,44394,39856,65530,19534,39112,26766,12877,14327,39901,20091,34680,27529,21254,22760,8777,66864,19290,13176,29529,27685,27044,34441,59296,28946,52787,30801,23345,43292,51257,19576,24877,43042,80572,60870,29582,24861,19799,52916,68220,43641,79005,43213,38673,16996,12879,25399,42002,24697,67564,20937,50593,11842,40748,10786,21402,33407,33632,31811,29299,10328,59502,9319,80501,27369,72357,23624,47954,24956,69377,47792,48718,13506,68265,10740,32878,73082,13323,21956,24285,22081,22710,14540,20342,37667,83312,33206,17608,31008,28837,33317,8843,12681,13959,26979,14212,38735,6485,33179,23966,40735,13157,40446,39334,33368,25748,36493,40936,19577,28840,77001,25142,32002,15711,33260,29474,19378,33791,39848,82170,20923,47191,16531,38085,24866,17965,29803,28541,45906,45499,23672,20829,57988,22182,30031,82618,42110,14932,26560,17587,34022,18661,58728,48735,35396,17048,19441,19040,36782,33670,60864,56647,19854,21439,8731,26455,10696,21953,23519,25525,40079,45412
43094,24478,46179,65286,53339,22217,23014,36188,61908,41926,21215,42706,39091,40490,49530,71948,32259,43461,42567,20184,11130,41506,31675,21029,38422,46538,23444,77281,37917,65619,38075,75537,35602,7636,30897,75335,53022,76579,19466,53385,17564,37256,24967,60580,57110,31353,16631,32540,47352,47957,1.0207e+05,23527,22878,41994,46561,52005,20636,16348,29879,30103,41542,59254,35538,39355,70316,11043,34732,51891,21076,63649,20178,30634,29287,32419,35343,59906,40690,38727,36234,48178,15451,27661,33119,31113,24338,54752,32079,47078,30446,17219,22349,27449,66403,12420,93867,23193,50938,57134,47692,30822,45724,26063,11722,52140,23036,30989,17344,23446,25865,37904,14583,7578,22712,45182,16902,27934,22579,26879,64016,66915,28190,30627,36912,11948,61438,23135,34111,35268,41977,67105,32448,59655,23328,71783,44211,29976,44279,28059,24276,38956,30191,25369,11775,36051,18095,23442,18440,97238,44141,30073,38632,38520,34200,60951,41000,32822,35065,63780,84901,31573,62154,83375,59370,38025,88886,18081,19406,22546,18104,36862,37330,67659,42666,55179,59817,23137,41764,65366,31616,26921,39297,59219,34994,66931,30932,57443,55585,26814,33254,22322,34856,63912,72889,24002,29926,74940,47550,36566,72085,67366,35820,28629,36179,48490,52396,98018,24019,56180,63202,52783,42012,22384,46387,65013,31399,26082,50754,41730,26647,52403,15875,68676,67910,18762,28733,13082,33365,51077,30016,16250,75756,40927,63655,66416,20048,46142,41151,54718,32760,25266,17192,36443,27238,26559,31729,17745,73475,25770,30341,52569,68694,69268,27974,31746,26695,20985,34195,36634,37330,27637,49233,60919,20104,33050,27723,19072,33275,88175,33846,47758,35881,21830,25838,92329,37372,30027,27776,53899,19540,43794,23331,63457,56988,33690,18598,77006,18571,42163,43815,19395,46676,48378,81338,31003,40510,37914,39741,38724,62456,52176,8439,31761,39914,30356,60638,65932,57031,74806,35475,63367,40618,70272,27149,23540,17615,54372,24229,25420,82475,35175,51103,39327,16636,13489,14814,35536,27394,47728,49609,22460,32540,23692,15983,15873,49155,29070,48382,58033,74641,16539,85140,63350,34359,10971,46011,21701,22062,22563,15425,23516,28130,38481,75451,18111,28571,25678,71833,43740,28552,43412,23570,48002,60889,51476,13317,21153,58420,58108,18744,18877,55690,47185,64097,75328,51907,62130,84973,29903,28180,58277,36787,53386,30766,52627,14757,21436,24020,70360,30896,35764,33895,45480,34675,52276,48777,83111,81272,33045,44634,25442,56844,16512,23053,23939,28524,68986,59201,52384,51636,88703,30700,30554,32205,39799,35748,61945,34606,1.0259e+05,24706,46633,74220,38951,49227,47288,40317,38925,71542,35854,17076,63106,70948,70858,29810,54439,45666,14339,38057,38462,28245,27844,47550,32910,11807,29017,65528,18125,88198,40713,73681,40847,24146,58129,28339,26453,33511,47401,89621,20971,53339,13015,16162,46737,24487,61171,29843,28746,24569,49247,24908,27070,83747,16875,24149,22733,43871,24941,37662,37728,22159,22191,36275,25544,51581,69014,40826,30607,48345,14740,12975,29353,29036,33038,33611,35135,78520,37152,32150,39274,18842,19654,85460,63732,42327,21509,77824,79295,18315,37167,36742,29655,18471,41486,56233,58303,27764,19007,39274,32671,44909,16961,97798,89200,16375,49464,13580,39370,72388,36340,26439,29531,40002,63957,70776,16414,34941,22982,30247,69243,19951,97867,35022,55308,35992,28379,27901,46901,36865,16924,59655,80399,48768,27893,43165,22144,82655,49342,8171,39298,31201,26442,64884,35556,23300,72612,21429,44898,18982,55379,23559,59505,25359,21199,55518,67569,40642,36111,99892,40578,39149,19455,21843,27041,31640,23448,34296,42473,44367,26691,79387,37911,66717,55650,32732,29411,40930,48806,53077,52074,36962,54262,54646,68752,50233,23397,52324,30375,19944,25660,50416,61142,34136,9597,36100,44740,61912,50735,56778,46098,32684,49578,20560,26240,52244,54902,85736,68946,31616,42527,28327,30066,60591,17026,20395,27245,29464,23230,41769,34633,77712,35872,44789,71917,36323,22232,60546,17384,8709,33472,32523,14314,14125,58222,40395,15942,31562,51435,42370,43230,37281,28067,25215,38226,84321,45352,1.0795e+05,44511,31794,11465,37117,56961,48454,51849,22851,28957,18855,23954,36655,48229,24164,25747,49359,64168,35169,40076,9701,43818,30077,18185,72490,58140,55904,45277,46449,63439,43120,36941,20364,38782,21781,24437,8739,29857,11068,27327,32300,43692,35282,9018,44904,71279,20862,57268,78225,14409,27821,78381,28393,45882,25523,19254,27144,38238,44133,34535,59540,22341,46662,47151,46679,35289,41407,37344,24694,27304,76252,23958,41296,31884,18621,28402,26378,63621,45907,24063,94764,21724,30191,36258,59081,31936,42043,93779,42644,40073,33830,63329,12447,19059,51827,47328,65568,66420,37257,57074,36960,11411,27736,43085,51766,47166,15046,24710,39906,56273,23424,27427,32594,26086,53539,40674,1.1207e+05,39807,72596,50825,43396,33213,58195,15029,77374,66525,51494,22299,35145,30446,23535,29436,49512,24310,32867,86114,56894,61419,61810,28471,33209,41218,18938,25131,38498,72519,25082,61429,53745,58600,43286,36692,19726,53171,55666,8757,45648,24011,25208,26772,16207,27709,34906,27282,55495,20197,59463,53180,28678,16048,52122,32254,73164,35306,50288,44404,40283,67765,35904,60312,34445,20021,15538,41168,25313,69077,28018,24226,44836,9259,80476,29901,59089,32033,40037,31825,59049,77216,31802,52870,33482,27014,46935,51838,19680,50991,53369,85973,67982,32678,30098,24007,58754,76951,55041,92282,43413,55057,17629,14356,44457,61332,27864,73033,24307,57740,32815,40975,15458,22214,42774,45280,60939,34820,11542,60032,10490,91154,30214,76720,64037,49993,65985,72311,51469,56118,13859,74815,30920,34056,90491,15085,22721,55977,23644,23076,23331,25090,41999,1.2213e+05,34060,39971,35007,30084,33459,17693,13584,14901,36131,21961,39778,13078,39032,30006,40743,27911,46204,43697,37506,43374,42552,41357,28064,33544,87045,26811,49927,15829,40721,47269,20048,54124,45816,82189,21328,50314,17355,60089,30409,58793,29814,30998,67223,63100,28894,25364,67094,23144,33918,98551,46705,33186,54251,19304,38445,29401,71879,52094,43754,22663,25070,20908,39392,40324,88564,60624,19977,21440,29419,28355,11924,28748,24696,30582,41864,46391
